"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","OCCUPATION_TYPE","ORGANIZATION_TYPE","AMT_REQ_CREDIT_BUREAU_MON","NAME_TYPE_SUITE"
19,0,"Cash loans","M","Y",0,292500,450000,34825.5,450000,"State servant","Higher education","Single / not married","With parents",-12364,-3881,"Managers","Military",0,"Unaccompanied"
20,0,"Cash loans","M","Y",0,135000,208512,24745.5,180000,"Working","Secondary / secondary special","Single / not married","With parents",-8220,-1336,"Laborers","Business Entity Type 3",NA,"Unaccompanied"
21,0,"Cash loans","F","Y",0,112500,485190,23341.5,405000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-22633,365243,"","XNA",1,"Unaccompanied"
22,0,"Cash loans","F","Y",0,157500,1557103.5,59440.5,1453500,"Commercial associate","Higher education","Married","House / apartment",-15879,-5091,"Private service staff","Services",0,"Unaccompanied"
23,0,"Cash loans","F","N",0,90000,9e+05,25794,9e+05,"Commercial associate","Higher education","Civil marriage","House / apartment",-11679,-2014,"Sales staff","Self-employed",0,"Unaccompanied"
24,0,"Cash loans","F","Y",0,360000,2013840,53253,1800000,"Pensioner","Higher education","Widow","House / apartment",-20205,365243,"","XNA",0,"Unaccompanied"
25,0,"Revolving loans","F","Y",0,225000,180000,9000,180000,"Working","Higher education","Single / not married","House / apartment",-8520,-1202,"Core staff","Bank",0,"Unaccompanied"
26,0,"Cash loans","F","N",0,378000,1288350,37800,1125000,"State servant","Secondary / secondary special","Separated","House / apartment",-20093,-6266,"Secretaries","School",11,"Unaccompanied"
27,0,"Revolving loans","F","N",3,180000,360000,18000,360000,"Working","Higher education","Married","House / apartment",-15172,-1586,"Accountants","Industry: type 11",0,"Unaccompanied"
28,0,"Cash loans","M","N",0,180000,528633,25560,472500,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-13345,-321,"","Business Entity Type 2",1,"Unaccompanied"
29,0,"Cash loans","F","Y",2,135000,191880,19791,180000,"Working","Secondary / secondary special","Married","House / apartment",-17421,-702,"Cooking staff","Self-employed",0,"Unaccompanied"
30,0,"Cash loans","F","N",0,81000,225000,10489.5,225000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-9417,-1670,"Sales staff","Trade: type 7",0,"Unaccompanied"
31,0,"Cash loans","M","N",0,64080,284400,16011,225000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23962,365243,"","XNA",0,"Spouse, partner"
32,0,"Revolving loans","F","N",0,81000,270000,13500,270000,"Working","Higher education","Married","House / apartment",-18270,-7058,"Core staff","School",0,"Unaccompanied"
33,0,"Cash loans","M","N",0,157500,904500,46075.5,904500,"Working","Secondary / secondary special","Married","House / apartment",-19895,-10235,"Drivers","Emergency",0,"Unaccompanied"
34,0,"Cash loans","F","N",0,90000,201474,19062,189000,"Pensioner","Secondary / secondary special","Married","House / apartment",-24890,365243,"","XNA",0,"Unaccompanied"
35,0,"Cash loans","F","N",0,108000,314100,12586.5,225000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-20988,365243,"","XNA",0,"Unaccompanied"
36,0,"Cash loans","M","N",1,180000,169614,11601,121500,"Working","Lower secondary","Married","Municipal apartment",-9924,-1908,"","Other",2,"Unaccompanied"
37,0,"Cash loans","F","N",0,67500,787131,26145,679500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20254,365243,"","XNA",0,"Other_B"
38,0,"Cash loans","F","N",0,90000,447768,35505,405000,"Working","Secondary / secondary special","Married","House / apartment",-19004,-2026,"Sales staff","Self-employed",0,"Unaccompanied"
39,0,"Revolving loans","M","N",0,180000,270000,13500,270000,"Working","Secondary / secondary special","Married","House / apartment",-19687,-320,"Drivers","Industry: type 9",0,"Unaccompanied"
40,0,"Cash loans","F","N",2,112500,450000,23107.5,450000,"Working","Secondary / secondary special","Married","House / apartment",-10720,-537,"Cooking staff","Other",0,"Unaccompanied"
41,0,"Cash loans","M","Y",1,315000,1024290,29484,855000,"Commercial associate","Higher education","Separated","House / apartment",-11199,-2580,"Managers","Business Entity Type 3",0,"Unaccompanied"
42,0,"Cash loans","F","N",0,157500,203760,13266,180000,"Working","Incomplete higher","Single / not married","House / apartment",-9175,-1197,"Realty agents","Business Entity Type 3",1,"Unaccompanied"
43,0,"Cash loans","M","Y",3,90000,225000,11650.5,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11654,-3197,"Sales staff","Self-employed",0,"Unaccompanied"
44,0,"Cash loans","F","N",0,171000,1047771,37764,904500,"Working","Secondary / secondary special","Married","House / apartment",-15497,-603,"Security staff","Transport: type 4",0,"Family"
45,0,"Cash loans","F","N",0,90000,1078200,34911,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-19770,-2956,"Cooking staff","Medicine",1,"Unaccompanied"
46,1,"Revolving loans","F","N",1,135000,180000,9000,180000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-11935,-1357,"Sales staff","Trade: type 7",0,"Unaccompanied"
47,0,"Cash loans","F","N",0,67500,283419,10813.5,234000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23759,365243,"","XNA",0,"Unaccompanied"
48,0,"Cash loans","M","Y",1,90000,412942.5,27724.5,373500,"Working","Secondary / secondary special","Single / not married","House / apartment",-16574,-453,"Laborers","Construction",0,"Unaccompanied"
49,1,"Cash loans","M","Y",0,180000,592560,31153.5,450000,"Working","Secondary / secondary special","Married","House / apartment",-22542,-740,"Security staff","Housing",0,"Unaccompanied"
50,0,"Cash loans","F","N",1,315000,774000,39649.5,774000,"Commercial associate","Secondary / secondary special","Separated","Municipal apartment",-18794,-1842,"Cleaning staff","Business Entity Type 1",0,"Unaccompanied"
51,1,"Cash loans","F","N",0,90000,495216,20169,427500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23025,365243,"","XNA",NA,"Unaccompanied"
52,0,"Cash loans","M","Y",0,315000,229500,23643,229500,"Working","Secondary / secondary special","Married","House / apartment",-14469,-394,"Laborers","Government",1,"Unaccompanied"
53,0,"Cash loans","F","N",0,81000,544491,16047,454500,"Pensioner","Secondary / secondary special","Married","Rented apartment",-18172,365243,"","XNA",0,"Unaccompanied"
54,0,"Cash loans","F","N",0,72000,269550,11871,225000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-18260,-3566,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
55,0,"Cash loans","M","Y",0,247500,679500,36333,679500,"Working","Secondary / secondary special","Married","House / apartment",-16822,-1622,"Drivers","Business Entity Type 3",0,"Family"
56,0,"Cash loans","F","N",0,112500,942300,30528,675000,"Commercial associate","Secondary / secondary special","Widow","House / apartment",-15835,-2351,"Cooking staff","Other",0,"Unaccompanied"
57,0,"Cash loans","F","N",0,90000,728460,38578.5,675000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23716,365243,"","XNA",0,"Unaccompanied"
58,0,"Cash loans","F","N",0,360000,1422337.5,41719.5,1242000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20177,365243,"","XNA",0,"Unaccompanied"
59,0,"Revolving loans","F","N",0,180000,225000,11250,225000,"Working","Secondary / secondary special","Married","Municipal apartment",-19586,-7400,"Cleaning staff","Business Entity Type 3",0,"Unaccompanied"
60,0,"Cash loans","F","N",0,189000,1125000,43722,1125000,"Commercial associate","Incomplete higher","Separated","House / apartment",-15166,-3472,"Core staff","Mobile",2,"Unaccompanied"
61,0,"Cash loans","F","N",0,90000,452385,26100,373500,"Working","Secondary / secondary special","Married","House / apartment",-17384,-8350,"","Kindergarten",1,"Unaccompanied"
62,0,"Cash loans","F","N",1,333000,168147,15552,153000,"Working","Secondary / secondary special","Married","House / apartment",-12460,-1297,"Accountants","Other",0,"Unaccompanied"
63,0,"Cash loans","M","Y",0,135000,888840,29506.5,675000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22517,365243,"","XNA",1,"Unaccompanied"
64,0,"Cash loans","F","N",0,126000,270000,11893.5,270000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15028,-3448,"Laborers","Self-employed",0,"Unaccompanied"
65,0,"Cash loans","M","Y",0,90000,1221354,35842.5,1066500,"Working","Secondary / secondary special","Married","House / apartment",-22025,-1560,"Laborers","Business Entity Type 3",NA,"Unaccompanied"
66,0,"Cash loans","F","N",0,157500,474048,28642.5,360000,"Working","Secondary / secondary special","Single / not married","House / apartment",-16135,-454,"","Business Entity Type 3",0,"Unaccompanied"
67,1,"Cash loans","M","N",1,135000,239850,22770,225000,"Working","Higher education","Married","House / apartment",-16521,-1060,"Managers","Other",0,"Unaccompanied"
68,0,"Cash loans","M","Y",0,90000,270000,28480.5,270000,"Working","Secondary / secondary special","Married","House / apartment",-15572,-3208,"","Government",0,"Unaccompanied"
69,0,"Cash loans","M","N",1,315000,267102,28894.5,247500,"Working","Secondary / secondary special","Married","House / apartment",-13611,-1052,"Laborers","Other",0,"Unaccompanied"
70,0,"Cash loans","F","N",0,121500,315000,12006,315000,"Pensioner","Higher education","Married","House / apartment",-20271,365243,"","XNA",NA,"Family"
71,1,"Cash loans","F","N",0,157500,829224,30595.5,594000,"Working","Secondary / secondary special","Married","House / apartment",-15440,-1661,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
72,1,"Cash loans","F","N",0,157500,1166724,30775.5,913500,"Working","Secondary / secondary special","Separated","House / apartment",-17697,-3138,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
73,0,"Cash loans","F","N",0,180000,203760,21006,180000,"Working","Secondary / secondary special","Civil marriage","Municipal apartment",-11299,-1936,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
74,0,"Cash loans","M","Y",1,270000,305221.5,22338,252000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13592,-458,"Drivers","Business Entity Type 2",0,"Unaccompanied"
75,1,"Cash loans","M","Y",0,94500,534141,25978.5,441000,"Working","Secondary / secondary special","Married","House / apartment",-11907,-3344,"Laborers","Business Entity Type 1",2,"Family"
76,0,"Revolving loans","F","N",0,135000,180000,9000,180000,"Commercial associate","Secondary / secondary special","Single / not married","With parents",-7778,-146,"Accountants","Medicine",0,"Unaccompanied"
77,0,"Revolving loans","M","Y",1,202500,202500,10125,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19071,-827,"Security staff","Business Entity Type 3",0,"Group of people"
78,0,"Revolving loans","M","Y",2,193500,585000,29250,585000,"Working","Higher education","Married","House / apartment",-12331,-4071,"High skill tech staff","Police",1,"Unaccompanied"
79,0,"Cash loans","M","Y",2,112500,265851,14418,229500,"Working","Secondary / secondary special","Married","House / apartment",-14630,-4559,"","Industry: type 11",0,"Unaccompanied"
80,1,"Cash loans","M","Y",0,180000,254700,20250,225000,"Working","Higher education","Single / not married","House / apartment",-12846,-710,"Security staff","Security",0,"Unaccompanied"
81,0,"Cash loans","M","Y",0,225000,270045,29083.5,256500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19495,-5547,"Drivers","Self-employed",0,"Unaccompanied"
82,0,"Revolving loans","F","N",0,112500,337500,16875,337500,"Pensioner","Higher education","Married","House / apartment",-20135,365243,"","XNA",0,"Unaccompanied"
83,0,"Cash loans","F","N",2,90000,9e+05,26446.5,9e+05,"State servant","Secondary / secondary special","Married","House / apartment",-13005,-4116,"Laborers","Kindergarten",0,"Unaccompanied"
84,0,"Cash loans","M","Y",0,126000,536917.5,27544.5,463500,"Working","Secondary / secondary special","Married","House / apartment",-13515,-2444,"Laborers","Self-employed",0,"Unaccompanied"
85,0,"Cash loans","M","Y",0,675000,450000,29299.5,450000,"Working","Incomplete higher","Married","House / apartment",-10533,-2437,"Core staff","Emergency",0,"Unaccompanied"
86,0,"Cash loans","F","N",1,90000,1054773,34987.5,945000,"Working","Secondary / secondary special","Married","House / apartment",-18345,-609,"Sales staff","Self-employed",0,"Spouse, partner"
87,0,"Cash loans","M","N",2,180000,274500,15889.5,274500,"Working","Secondary / secondary special","Married","House / apartment",-15104,-3045,"Laborers","Business Entity Type 3",0,"Unaccompanied"
88,0,"Cash loans","F","N",1,112500,55692,4909.5,45000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-14568,-3889,"Sales staff","Self-employed",1,"Unaccompanied"
89,0,"Cash loans","F","Y",1,180000,254700,23697,225000,"Commercial associate","Higher education","Married","House / apartment",-12152,-525,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
90,1,"Cash loans","F","N",0,202500,545040,26640,450000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-19653,-594,"Sales staff","Business Entity Type 2",0,"Unaccompanied"
91,0,"Cash loans","F","Y",1,171000,327024,18904.5,270000,"Working","Secondary / secondary special","Married","With parents",-15038,-1018,"Accountants","Kindergarten",0,"Unaccompanied"
92,0,"Cash loans","F","Y",0,76500,663093,21519,553500,"Working","Secondary / secondary special","Married","House / apartment",-19771,-5145,"Managers","Postal",1,"Unaccompanied"
93,0,"Cash loans","F","N",0,157500,312768,24840,270000,"Working","Secondary / secondary special","Separated","House / apartment",-14502,-1093,"Laborers","Business Entity Type 2",1,"Unaccompanied"
94,0,"Cash loans","F","Y",0,157500,679500,26946,679500,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-18320,-3133,"Laborers","Business Entity Type 3",0,"Unaccompanied"
95,0,"Cash loans","F","Y",1,135000,679500,45594,679500,"Working","Higher education","Married","House / apartment",-14750,-487,"Accountants","Bank",1,"Unaccompanied"
96,0,"Cash loans","M","N",0,90000,215640,18634.5,180000,"Working","Secondary / secondary special","Civil marriage","Municipal apartment",-18778,-184,"Security staff","Business Entity Type 3",NA,"Unaccompanied"
97,0,"Cash loans","F","N",0,112500,454500,20151,454500,"Working","Lower secondary","Married","House / apartment",-16679,-6301,"Core staff","Agriculture",NA,"Unaccompanied"
98,0,"Cash loans","F","N",0,135000,1381113,40513.5,1206000,"Working","Secondary / secondary special","Married","House / apartment",-17761,-6425,"Sales staff","Self-employed",0,"Family"
99,1,"Cash loans","F","N",0,315000,740700,31266,562500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-17775,-2603,"Medicine staff","Medicine",2,"Unaccompanied"
100,0,"Cash loans","M","N",1,450000,1546020,45202.5,1350000,"Working","Higher education","Married","Rented apartment",-14802,-1678,"Managers","Business Entity Type 3",NA,"Unaccompanied"
101,0,"Cash loans","M","Y",0,157500,536917.5,29254.5,463500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21219,365243,"","XNA",0,"Unaccompanied"
102,0,"Cash loans","F","N",0,135000,942300,36643.5,675000,"Working","Higher education","Widow","Municipal apartment",-15943,-161,"High skill tech staff","Transport: type 4",0,"Family"
103,0,"Cash loans","F","N",0,90000,239850,22671,225000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-23738,365243,"","XNA",0,"Unaccompanied"
104,0,"Revolving loans","M","Y",0,225000,382500,19125,382500,"Working","Higher education","Married","House / apartment",-14733,-2093,"Drivers","Other",0,"Unaccompanied"
105,0,"Cash loans","F","N",0,360000,270000,29079,270000,"Commercial associate","Higher education","Civil marriage","House / apartment",-9396,-254,"Managers","Advertising",NA,"Unaccompanied"
106,0,"Revolving loans","M","N",3,157500,270000,13500,270000,"Working","Secondary / secondary special","Married","House / apartment",-16489,-413,"Security staff","Business Entity Type 3",0,"Unaccompanied"
107,0,"Cash loans","F","N",0,90000,380533.5,20772,328500,"Working","Secondary / secondary special","Single / not married","House / apartment",-12157,-1493,"Core staff","Self-employed",0,"Unaccompanied"
108,0,"Cash loans","F","Y",0,112500,1218708,35761.5,873000,"State servant","Secondary / secondary special","Married","House / apartment",-17605,-5343,"","Other",0,"Unaccompanied"
109,0,"Cash loans","F","N",0,90000,284400,16011,225000,"Pensioner","Lower secondary","Single / not married","House / apartment",-24132,365243,"","XNA",0,"Unaccompanied"
110,1,"Cash loans","F","N",0,135000,371245.5,17437.5,261000,"Working","Secondary / secondary special","Married","House / apartment",-11357,-231,"Sales staff","Business Entity Type 3",0,"Spouse, partner"
111,0,"Cash loans","F","N",0,157500,383760,37512,360000,"State servant","Secondary / secondary special","Separated","Municipal apartment",-23062,-13529,"Cooking staff","Kindergarten",0,"Unaccompanied"
112,0,"Cash loans","M","Y",0,135000,1125000,32895,1125000,"Working","Lower secondary","Married","Municipal apartment",-13331,-2402,"Low-skill Laborers","Business Entity Type 3",0,"Unaccompanied"
113,0,"Cash loans","F","N",0,90000,385164,23274,292500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19197,-882,"Cleaning staff","Police",NA,"Unaccompanied"
114,0,"Cash loans","M","Y",1,180000,810000,34317,810000,"Working","Secondary / secondary special","Married","House / apartment",-19094,-3076,"Laborers","Industry: type 7",0,"Unaccompanied"
115,0,"Cash loans","M","N",0,117000,497520,33246,450000,"Working","Secondary / secondary special","Married","House / apartment",-21910,-1576,"Laborers","Self-employed",0,"Unaccompanied"
116,0,"Cash loans","F","N",2,112500,808650,23773.5,675000,"Working","Incomplete higher","Married","House / apartment",-18285,-3077,"Accountants","Self-employed",0,"Unaccompanied"
117,0,"Cash loans","F","N",0,144000,457834.5,26280,378000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-22350,365243,"","XNA",0,"Unaccompanied"
118,0,"Cash loans","F","N",1,126000,1078200,31653,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-15689,-5947,"Medicine staff","Medicine",0,"Family"
119,0,"Cash loans","M","Y",1,225000,846387,24876,706500,"Commercial associate","Higher education","Married","House / apartment",-16334,-1981,"Managers","Military",0,"Unaccompanied"
120,0,"Cash loans","M","N",0,90000,67500,7087.5,67500,"Working","Higher education","Single / not married","With parents",-11549,-1230,"Laborers","Other",NA,"Unaccompanied"
121,0,"Cash loans","F","N",1,134100,170640,11533.5,135000,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",-8112,365243,"","XNA",NA,"Family"
122,0,"Cash loans","F","N",0,135000,1078200,28570.5,9e+05,"Commercial associate","Higher education","Married","House / apartment",-14041,-705,"Accountants","Business Entity Type 2",0,"Unaccompanied"
123,0,"Cash loans","F","N",0,157500,675000,65889,675000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23629,365243,"","XNA",NA,"Unaccompanied"
124,0,"Cash loans","F","N",0,83250,239850,23494.5,225000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-25075,-2309,"","Business Entity Type 3",0,"Unaccompanied"
125,0,"Cash loans","F","N",0,128250,127350,7240.5,112500,"Pensioner","Higher education","Married","House / apartment",-24376,365243,"","XNA",0,"Unaccompanied"
126,0,"Cash loans","F","N",0,144000,225000,10953,225000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-24323,365243,"","XNA",NA,"Unaccompanied"
127,0,"Cash loans","F","Y",0,261000,1451862,75307.5,1386000,"Commercial associate","Higher education","Married","House / apartment",-18053,-3078,"","Industry: type 1",NA,"Family"
128,1,"Cash loans","M","Y",0,405000,723996,34960.5,585000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15726,-2804,"","Business Entity Type 3",0,"Unaccompanied"
129,0,"Cash loans","F","N",0,225000,113760,6660,90000,"Working","Secondary / secondary special","Married","House / apartment",-11916,-1736,"","Self-employed",0,"Unaccompanied"
130,0,"Cash loans","M","N",0,67500,659610,21406.5,472500,"Working","Secondary / secondary special","Married","House / apartment",-15561,-3856,"Security staff","Security",0,"Unaccompanied"
131,0,"Cash loans","F","N",2,126000,9e+05,26316,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-10291,-1959,"Medicine staff","Medicine",0,"Unaccompanied"
132,0,"Cash loans","F","N",0,121500,679500,27076.5,679500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21414,365243,"","XNA",0,"Unaccompanied"
133,0,"Cash loans","F","N",0,202500,970380,28503,810000,"Working","Secondary / secondary special","Single / not married","House / apartment",-20590,-1887,"Sales staff","Construction",1,"Unaccompanied"
134,0,"Cash loans","F","N",0,225000,886090.5,37674,792000,"Working","Secondary / secondary special","Separated","House / apartment",-14829,-1395,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
135,0,"Cash loans","F","N",0,90000,180000,9189,180000,"Working","Secondary / secondary special","Married","House / apartment",-18152,-3279,"Medicine staff","Kindergarten",0,"Unaccompanied"
136,0,"Cash loans","F","N",1,135000,1255680,41499,1125000,"Working","Higher education","Married","House / apartment",-16723,-1763,"Sales staff","Self-employed",0,"Unaccompanied"
137,0,"Cash loans","M","Y",1,135000,634482,24583.5,454500,"Working","Secondary / secondary special","Married","House / apartment",-14834,-1461,"Drivers","Agriculture",0,"Unaccompanied"
138,0,"Cash loans","F","N",0,261000,1237684.5,47272.5,1138500,"Pensioner","Higher education","Married","House / apartment",-22818,365243,"","XNA",0,"Unaccompanied"
139,0,"Cash loans","F","N",1,112500,521280,31630.5,450000,"Commercial associate","Lower secondary","Single / not married","House / apartment",-13142,-602,"Laborers","Trade: type 7",0,"Family"
140,0,"Cash loans","F","N",0,360000,1616107.5,44442,1444500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21277,365243,"","XNA",0,"Unaccompanied"
141,0,"Cash loans","M","Y",0,225000,1078200,28570.5,9e+05,"State servant","Higher education","Single / not married","With parents",-11124,-1890,"Managers","Security Ministries",0,"Unaccompanied"
142,0,"Cash loans","M","N",0,103500,227520,13189.5,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",-24365,365243,"","XNA",NA,"Other_B"
143,0,"Cash loans","F","N",0,49500,107820,5976,90000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-22263,365243,"","XNA",NA,"Unaccompanied"
144,0,"Cash loans","F","N",0,157500,931500,39595.5,931500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21315,365243,"","XNA",0,"Unaccompanied"
145,0,"Cash loans","F","N",0,315000,9e+05,33354,9e+05,"Commercial associate","Higher education","Married","House / apartment",-11235,-458,"Managers","Business Entity Type 3",NA,"Unaccompanied"
146,0,"Cash loans","F","N",0,135000,276277.5,19777.5,238500,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-20200,-1724,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
147,1,"Cash loans","M","N",0,126000,616261.5,22266,468000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-17325,-1351,"Security staff","Security",0,"Unaccompanied"
148,0,"Cash loans","M","Y",0,211500,83538,6592.5,67500,"Working","Higher education","Single / not married","With parents",-9735,-389,"Core staff","Bank",0,"Unaccompanied"
149,0,"Cash loans","F","Y",0,225000,543037.5,36288,463500,"Working","Higher education","Married","House / apartment",-12250,-514,"Managers","Business Entity Type 3",1,"Unaccompanied"
150,0,"Cash loans","M","N",0,32139,536917.5,17874,463500,"Pensioner","Secondary / secondary special","Married","Rented apartment",-22540,365243,"","XNA",0,"Unaccompanied"
151,0,"Cash loans","F","N",0,405000,1002456,39883.5,810000,"Working","Secondary / secondary special","Separated","House / apartment",-19993,-4772,"Cleaning staff","Other",0,"Unaccompanied"
152,1,"Cash loans","F","N",0,270000,490495.5,38884.5,454500,"Working","Higher education","Married","House / apartment",-11809,-5176,"Sales staff","Self-employed",0,"Unaccompanied"
153,0,"Cash loans","F","N",2,85500,777069,54211.5,733500,"Working","Higher education","Married","House / apartment",-11499,-2881,"","Medicine",0,"Unaccompanied"
154,1,"Cash loans","F","N",1,90000,460858.5,22545,324000,"Working","Secondary / secondary special","Single / not married","House / apartment",-14330,-489,"Core staff","Business Entity Type 3",0,"Children"
155,0,"Cash loans","F","Y",2,76500,659533.5,31860,589500,"Working","Secondary / secondary special","Married","House / apartment",-14306,-904,"Sales staff","Business Entity Type 3",0,"Spouse, partner"
156,0,"Cash loans","F","Y",1,360000,450000,20979,450000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-10947,-1600,"","Business Entity Type 1",2,"Unaccompanied"
