"","id","target","contract","gender","car","n_child","income","credit","loan","price","job_stat","studies","family","house","age","job_duration","occupation","job_type","n_enquiries","companion"
"55",55,"payed","Cash loans","M","Y",0,247500,679500,36333,679500,"Working","Secondary education","Married","apartment",46,4.44383561643836,"Service Staff","Business",0,"Family"
"56",56,"payed","Cash loans","F","N",0,112500,942300,30528,675000,"Commer. Assoc.","Secondary education","Widow","apartment",43,6.44109589041096,"Chef","Culture and Services",0,"Unaccompan."
"57",57,"payed","Cash loans","F","N",0,90000,728460,38578.5,675000,"Pensioner","Secondary education","Widow","apartment",64,4.20547945205479,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"58",58,"payed","Cash loans","F","N",0,360000,1422337.5,41719.5,1242000,"Pensioner","Secondary education","Married","apartment",55,5.64383561643836,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"59",59,"payed","Revolving loans","F","N",0,180000,225000,11250,225000,"Working","Secondary education","Married","Municipal apart.",53,20.2739726027397,"Service Staff","Business",0,"Unaccompan."
"60",60,"payed","Cash loans","F","N",0,189000,1125000,43722,1125000,"Commer. Assoc.","Low education","divorce","apartment",41,9.51232876712329,"Core staff","Mobile",2,"Unaccompan."
"61",61,"payed","Cash loans","F","N",0,90000,452385,26100,373500,"Working","Secondary education","Married","apartment",47,22.8767123287671,"Occupation_Unknown","Culture and Services",1,"Unaccompan."
"62",62,"payed","Cash loans","F","N",1,333000,168147,15552,153000,"Working","Secondary education","Married","apartment",34,3.55342465753425,"Administrative Staff","Culture and Services",0,"Unaccompan."
"63",63,"payed","Cash loans","M","Y",0,135000,888840,29506.5,675000,"Pensioner","Secondary education","Married","apartment",61,3.84931506849315,"Occupation_Unknown","Jobtype_Unknown",1,"Unaccompan."
"64",64,"payed","Cash loans","F","N",0,126000,270000,11893.5,270000,"Working","Secondary education","Married","apartment",41,9.44657534246575,"Laborers","Self-employed",0,"Unaccompan."
"65",65,"payed","Cash loans","M","Y",0,90000,1221354,35842.5,1066500,"Working","Secondary education","Married","apartment",60,4.27397260273973,"Laborers","Business",0,"Unaccompan."
"66",66,"payed","Cash loans","F","N",0,157500,474048,28642.5,360000,"Working","Secondary education","single","apartment",44,1.24383561643836,"Occupation_Unknown","Business",0,"Unaccompan."
"67",67,"overdue","Cash loans","M","N",1,135000,239850,22770,225000,"Working","Higher education","Married","apartment",45,2.9041095890411,"Managers","Culture and Services",0,"Unaccompan."
"68",68,"payed","Cash loans","M","Y",0,90000,270000,28480.5,270000,"Working","Secondary education","Married","apartment",42,8.78904109589041,"Occupation_Unknown","Government and Military",0,"Unaccompan."
"69",69,"payed","Cash loans","M","N",1,315000,267102,28894.5,247500,"Working","Secondary education","Married","apartment",37,2.88219178082192,"Laborers","Culture and Services",0,"Unaccompan."
"70",70,"payed","Cash loans","F","N",0,121500,315000,12006,315000,"Pensioner","Higher education","Married","apartment",55,1.2027397260274,"Occupation_Unknown","Jobtype_Unknown",0,"Family"
"71",71,"overdue","Cash loans","F","N",0,157500,829224,30595.5,594000,"Working","Secondary education","Married","apartment",42,4.55068493150685,"Sales staff","Business",0,"Unaccompan."
"72",72,"overdue","Cash loans","F","N",0,157500,1166724,30775.5,913500,"Working","Secondary education","divorce","apartment",48,8.5972602739726,"Sales staff","Business",0,"Unaccompan."
"73",73,"payed","Cash loans","F","N",0,180000,203760,21006,180000,"Working","Secondary education","Married","Municipal apart.",30,5.3041095890411,"Sales staff","Business",0,"Unaccompan."
"74",74,"payed","Cash loans","M","Y",1,270000,305221.5,22338,252000,"Commer. Assoc.","Secondary education","Married","apartment",37,1.25479452054795,"Service Staff","Business",0,"Unaccompan."
"75",75,"overdue","Cash loans","M","Y",0,94500,534141,25978.5,441000,"Working","Secondary education","Married","apartment",32,9.16164383561644,"Laborers","Business",2,"Family"
"76",76,"payed","Revolving loans","F","N",0,135000,180000,9000,180000,"Commer. Assoc.","Secondary education","single","With parents",21,0.4,"Administrative Staff","Medicine",0,"Unaccompan."
"77",77,"payed","Revolving loans","M","Y",1,202500,202500,10125,202500,"Commer. Assoc.","Secondary education","Married","apartment",52,2.26575342465753,"Security","Business",0,"Group_people"
"78",78,"payed","Revolving loans","M","Y",2,193500,585000,29250,585000,"Working","Higher education","Married","apartment",33,11.1534246575342,"Tech Staff","Government and Military",1,"Unaccompan."
"79",79,"payed","Cash loans","M","Y",2,112500,265851,14418,229500,"Working","Secondary education","Married","apartment",40,12.4904109589041,"Occupation_Unknown","Culture and Services",0,"Unaccompan."
"80",80,"overdue","Cash loans","M","Y",0,180000,254700,20250,225000,"Working","Higher education","single","apartment",35,1.94520547945205,"Security","Security",0,"Unaccompan."
"81",81,"payed","Cash loans","M","Y",0,225000,270045,29083.5,256500,"Commer. Assoc.","Secondary education","Married","apartment",53,15.1972602739726,"Service Staff","Self-employed",0,"Unaccompan."
"82",82,"payed","Revolving loans","F","N",0,112500,337500,16875,337500,"Pensioner","Higher education","Married","apartment",55,5.04109589041096,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"83",83,"payed","Cash loans","F","N",2,90000,9e+05,26446.5,9e+05,"State servant","Secondary education","Married","apartment",35,11.2767123287671,"Laborers","Culture and Services",0,"Unaccompan."
"84",84,"payed","Cash loans","M","Y",0,126000,536917.5,27544.5,463500,"Working","Secondary education","Married","apartment",37,6.6958904109589,"Laborers","Self-employed",0,"Unaccompan."
"85",85,"payed","Cash loans","M","Y",0,675000,450000,29299.5,450000,"Working","Low education","Married","apartment",28,6.67671232876712,"Core staff","Culture and Services",0,"Unaccompan."
"86",86,"payed","Cash loans","F","N",1,90000,1054773,34987.5,945000,"Working","Secondary education","Married","apartment",50,1.66849315068493,"Sales staff","Self-employed",0,"Partner"
"87",87,"payed","Cash loans","M","N",2,180000,274500,15889.5,274500,"Working","Secondary education","Married","apartment",41,8.34246575342466,"Laborers","Business",0,"Unaccompan."
"88",88,"payed","Cash loans","F","N",1,112500,55692,4909.5,45000,"Commer. Assoc.","Secondary education","Married","apartment",39,10.6547945205479,"Sales staff","Self-employed",1,"Unaccompan."
"89",89,"payed","Cash loans","F","Y",1,180000,254700,23697,225000,"Commer. Assoc.","Higher education","Married","apartment",33,1.43835616438356,"Sales staff","Business",0,"Unaccompan."
"90",90,"overdue","Cash loans","F","N",0,202500,545040,26640,450000,"Commer. Assoc.","Secondary education","divorce","apartment",53,1.62739726027397,"Sales staff","Business",0,"Unaccompan."
"91",91,"payed","Cash loans","F","Y",1,171000,327024,18904.5,270000,"Working","Secondary education","Married","With parents",41,2.78904109589041,"Administrative Staff","Culture and Services",0,"Unaccompan."
"92",92,"payed","Cash loans","F","Y",0,76500,663093,21519,553500,"Working","Secondary education","Married","apartment",54,14.0958904109589,"Managers","Government and Military",1,"Unaccompan."
"93",93,"payed","Cash loans","F","N",0,157500,312768,24840,270000,"Working","Secondary education","divorce","apartment",39,2.99452054794521,"Laborers","Business",1,"Unaccompan."
"94",94,"payed","Cash loans","F","Y",0,157500,679500,26946,679500,"Commer. Assoc.","Secondary education","single","apartment",50,8.58356164383562,"Laborers","Business",0,"Unaccompan."
"95",95,"payed","Cash loans","F","Y",1,135000,679500,45594,679500,"Working","Higher education","Married","apartment",40,1.33424657534247,"Administrative Staff","Business",1,"Unaccompan."
"96",96,"payed","Cash loans","M","N",0,90000,215640,18634.5,180000,"Working","Secondary education","Married","Municipal apart.",51,0.504109589041096,"Security","Business",0,"Unaccompan."
"97",97,"payed","Cash loans","F","N",0,112500,454500,20151,454500,"Working","Low education","Married","apartment",45,17.2630136986301,"Core staff","Agriculture",0,"Unaccompan."
"98",98,"payed","Cash loans","F","N",0,135000,1381113,40513.5,1206000,"Working","Secondary education","Married","apartment",48,17.6027397260274,"Sales staff","Self-employed",0,"Family"
"99",99,"overdue","Cash loans","F","N",0,315000,740700,31266,562500,"Working","Secondary education","Married","apartment",48,7.13150684931507,"Medic stf","Medicine",2,"Unaccompan."
"100",100,"payed","Cash loans","M","N",1,450000,1546020,45202.5,1350000,"Working","Higher education","Married","Rented apart.",40,4.5972602739726,"Managers","Business",0,"Unaccompan."
"101",101,"payed","Cash loans","M","Y",0,157500,536917.5,29254.5,463500,"Pensioner","Secondary education","Married","apartment",58,0.613698630136986,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"102",102,"payed","Cash loans","F","N",0,135000,942300,36643.5,675000,"Working","Higher education","Widow","Municipal apart.",43,0.441095890410959,"Tech Staff","Transport",0,"Family"
"103",103,"payed","Cash loans","F","N",0,90000,239850,22671,225000,"Pensioner","Secondary education","single","apartment",65,14.3561643835616,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"104",104,"payed","Revolving loans","M","Y",0,225000,382500,19125,382500,"Working","Higher education","Married","apartment",40,5.73424657534247,"Service Staff","Culture and Services",0,"Unaccompan."
"105",105,"payed","Cash loans","F","N",0,360000,270000,29079,270000,"Commer. Assoc.","Higher education","Married","apartment",25,0.695890410958904,"Managers","Business",0,"Unaccompan."
"106",106,"payed","Revolving loans","M","N",3,157500,270000,13500,270000,"Working","Secondary education","Married","apartment",45,1.13150684931507,"Security","Business",0,"Unaccompan."
"107",107,"payed","Cash loans","F","N",0,90000,380533.5,20772,328500,"Working","Secondary education","single","apartment",33,4.09041095890411,"Core staff","Self-employed",0,"Unaccompan."
"108",108,"payed","Cash loans","F","Y",0,112500,1218708,35761.5,873000,"State servant","Secondary education","Married","apartment",48,14.6383561643836,"Occupation_Unknown","Culture and Services",0,"Unaccompan."
"109",109,"payed","Cash loans","F","N",0,90000,284400,16011,225000,"Pensioner","Low education","single","apartment",66,14.3561643835616,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"110",110,"overdue","Cash loans","F","N",0,135000,371245.5,17437.5,261000,"Working","Secondary education","Married","apartment",31,0.632876712328767,"Sales staff","Business",0,"Partner"
"111",111,"payed","Cash loans","F","N",0,157500,383760,37512,360000,"State servant","Secondary education","divorce","Municipal apart.",63,37.0657534246575,"Chef","Culture and Services",0,"Unaccompan."
"112",112,"payed","Cash loans","M","Y",0,135000,1125000,32895,1125000,"Working","Low education","Married","Municipal apart.",36,6.58082191780822,"Laborers","Business",0,"Unaccompan."
"113",113,"payed","Cash loans","F","N",0,90000,385164,23274,292500,"Commer. Assoc.","Secondary education","Married","apartment",52,2.41643835616438,"Service Staff","Government and Military",0,"Unaccompan."
"114",114,"payed","Cash loans","M","Y",1,180000,810000,34317,810000,"Working","Secondary education","Married","apartment",52,8.42739726027397,"Laborers","Culture and Services",0,"Unaccompan."
"115",115,"payed","Cash loans","M","N",0,117000,497520,33246,450000,"Working","Secondary education","Married","apartment",60,4.31780821917808,"Laborers","Self-employed",0,"Unaccompan."
"116",116,"payed","Cash loans","F","N",2,112500,808650,23773.5,675000,"Working","Low education","Married","apartment",50,8.43013698630137,"Administrative Staff","Self-employed",0,"Unaccompan."
"117",117,"payed","Cash loans","F","N",0,144000,457834.5,26280,378000,"Pensioner","Secondary education","Widow","apartment",61,9.98904109589041,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"118",118,"payed","Cash loans","F","N",1,126000,1078200,31653,9e+05,"Working","Secondary education","Married","apartment",42,16.2931506849315,"Medic stf","Medicine",0,"Family"
"119",119,"payed","Cash loans","M","Y",1,225000,846387,24876,706500,"Commer. Assoc.","Higher education","Married","apartment",44,5.42739726027397,"Managers","Government and Military",0,"Unaccompan."
"120",120,"payed","Cash loans","M","N",0,90000,67500,7087.5,67500,"Working","Higher education","single","With parents",31,3.36986301369863,"Laborers","Culture and Services",1,"Unaccompan."
"121",121,"payed","Cash loans","F","N",1,134100,170640,11533.5,135000,"Pensioner","Secondary education","Married","apartment",22,2.72054794520548,"Occupation_Unknown","Jobtype_Unknown",0,"Family"
"122",122,"payed","Cash loans","F","N",0,135000,1078200,28570.5,9e+05,"Commer. Assoc.","Higher education","Married","apartment",38,1.93150684931507,"Administrative Staff","Business",0,"Unaccompan."
"123",123,"payed","Cash loans","F","N",0,157500,675000,65889,675000,"Pensioner","Secondary education","Widow","apartment",64,41.8904109589041,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"124",124,"payed","Cash loans","F","N",0,83250,239850,23494.5,225000,"Commer. Assoc.","Secondary education","divorce","apartment",68,6.32602739726027,"Occupation_Unknown","Business",0,"Unaccompan."
"125",125,"payed","Cash loans","F","N",0,128250,127350,7240.5,112500,"Pensioner","Higher education","Married","apartment",66,32.5315068493151,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"126",126,"payed","Cash loans","F","N",0,144000,225000,10953,225000,"Pensioner","Secondary education","single","apartment",66,9.11232876712329,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"127",127,"payed","Cash loans","F","Y",0,261000,1451862,75307.5,1386000,"Commer. Assoc.","Higher education","Married","apartment",49,8.43287671232877,"Occupation_Unknown","Culture and Services",1,"Family"
"128",128,"overdue","Cash loans","M","Y",0,405000,723996,34960.5,585000,"Commer. Assoc.","Secondary education","Married","apartment",43,7.68219178082192,"Occupation_Unknown","Business",0,"Unaccompan."
"129",129,"payed","Cash loans","F","N",0,225000,113760,6660,90000,"Working","Secondary education","Married","apartment",32,4.75616438356164,"Occupation_Unknown","Self-employed",0,"Unaccompan."
"130",130,"payed","Cash loans","M","N",0,67500,659610,21406.5,472500,"Working","Secondary education","Married","apartment",42,10.5643835616438,"Security","Security",0,"Unaccompan."
"131",131,"payed","Cash loans","F","N",2,126000,9e+05,26316,9e+05,"Working","Secondary education","Married","apartment",28,5.36712328767123,"Medic stf","Medicine",0,"Unaccompan."
"132",132,"payed","Cash loans","F","N",0,121500,679500,27076.5,679500,"Pensioner","Secondary education","Married","apartment",58,4.04931506849315,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"133",133,"payed","Cash loans","F","N",0,202500,970380,28503,810000,"Working","Secondary education","single","apartment",56,5.16986301369863,"Sales staff","Construction",1,"Unaccompan."
"134",134,"payed","Cash loans","F","N",0,225000,886090.5,37674,792000,"Working","Secondary education","divorce","apartment",40,3.82191780821918,"Sales staff","Business",0,"Unaccompan."
"135",135,"payed","Cash loans","F","N",0,90000,180000,9189,180000,"Working","Secondary education","Married","apartment",49,8.98356164383562,"Medic stf","Culture and Services",0,"Unaccompan."
"136",136,"payed","Cash loans","F","N",1,135000,1255680,41499,1125000,"Working","Higher education","Married","apartment",45,4.83013698630137,"Sales staff","Self-employed",0,"Unaccompan."
"137",137,"payed","Cash loans","M","Y",1,135000,634482,24583.5,454500,"Working","Secondary education","Married","apartment",40,4.0027397260274,"Service Staff","Agriculture",0,"Unaccompan."
"138",138,"payed","Cash loans","F","N",0,261000,1237684.5,47272.5,1138500,"Pensioner","Higher education","Married","apartment",62,27.9342465753425,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"139",139,"payed","Cash loans","F","N",1,112500,521280,31630.5,450000,"Commer. Assoc.","Low education","single","apartment",36,1.64931506849315,"Laborers","Real Estate and Trade",0,"Family"
"140",140,"payed","Cash loans","F","N",0,360000,1616107.5,44442,1444500,"Pensioner","Secondary education","Married","apartment",58,36.4301369863014,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"141",141,"payed","Cash loans","M","Y",0,225000,1078200,28570.5,9e+05,"State servant","Higher education","single","With parents",30,5.17808219178082,"Managers","Government and Military",0,"Unaccompan."
"142",142,"payed","Cash loans","M","N",0,103500,227520,13189.5,180000,"Pensioner","Secondary education","Married","apartment",66,24.4794520547945,"Occupation_Unknown","Jobtype_Unknown",0,"Other_companion"
"143",143,"payed","Cash loans","F","N",0,49500,107820,5976,90000,"Pensioner","Secondary education","Widow","apartment",60,5.22465753424658,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"144",144,"payed","Cash loans","F","N",0,157500,931500,39595.5,931500,"Pensioner","Secondary education","Married","apartment",58,6.35616438356164,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"145",145,"payed","Cash loans","F","N",0,315000,9e+05,33354,9e+05,"Commer. Assoc.","Higher education","Married","apartment",30,1.25479452054795,"Managers","Business",0,"Unaccompan."
"146",146,"payed","Cash loans","F","N",0,135000,276277.5,19777.5,238500,"Commer. Assoc.","Secondary education","single","apartment",55,4.72328767123288,"Sales staff","Business",0,"Unaccompan."
"147",147,"overdue","Cash loans","M","N",0,126000,616261.5,22266,468000,"Working","Secondary education","Married","apartment",47,3.7013698630137,"Security","Security",0,"Unaccompan."
"148",148,"payed","Cash loans","M","Y",0,211500,83538,6592.5,67500,"Working","Higher education","single","With parents",26,1.06575342465753,"Core staff","Business",0,"Unaccompan."
"149",149,"payed","Cash loans","F","Y",0,225000,543037.5,36288,463500,"Working","Higher education","Married","apartment",33,1.40821917808219,"Managers","Business",1,"Unaccompan."
"150",150,"payed","Cash loans","M","N",0,32139,536917.5,17874,463500,"Pensioner","Secondary education","Married","Rented apart.",61,9.38356164383562,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"151",151,"payed","Cash loans","F","N",0,405000,1002456,39883.5,810000,"Working","Secondary education","divorce","apartment",54,13.0739726027397,"Service Staff","Culture and Services",0,"Unaccompan."
"152",152,"overdue","Cash loans","F","N",0,270000,490495.5,38884.5,454500,"Working","Higher education","Married","apartment",32,14.1808219178082,"Sales staff","Self-employed",0,"Unaccompan."
"153",153,"payed","Cash loans","F","N",2,85500,777069,54211.5,733500,"Working","Higher education","Married","apartment",31,7.89315068493151,"Occupation_Unknown","Medicine",0,"Unaccompan."
"154",154,"overdue","Cash loans","F","N",1,90000,460858.5,22545,324000,"Working","Secondary education","single","apartment",39,1.33972602739726,"Core staff","Business",0,"Family"
"155",155,"payed","Cash loans","F","Y",2,76500,659533.5,31860,589500,"Working","Secondary education","Married","apartment",39,2.47671232876712,"Sales staff","Business",0,"Partner"
"156",156,"payed","Cash loans","F","Y",1,360000,450000,20979,450000,"Commer. Assoc.","Secondary education","divorce","apartment",29,4.38356164383562,"Occupation_Unknown","Business",2,"Unaccompan."
